Tweets,cleanedTweets,Translated,Subjectivity,Polarity,Analysis
"Ngapa ini Metro Tv hilang di siaran digital..bukan gua doang tetangga yg tvnya udah digital pada ilang metro tv,kem… https://t.co/mpqMrPSrUD","ngapa ini metro tv hilang di siaran digital..bukan gua doang tetangga yg tvnya udah digital pada ilang metro tv,kem… ","Why is this Metro TV missing on a digital broadcast ... not my neighbor whose TV has a digital TV on Metro TV, Kem ...",0.016666666666666666,-0.06666666666666667,-1
Beli Set Top Box atau alat penerima siaran TV DIGITAL (DVB-T2 di Virgo ♍ shop seharga Rp800.000 diskon dari Rp1.000… https://t.co/xE3tnUM0PZ,beli set top box atau alat penerima siaran tv digital (dvb-t2 di virgo ♍ shop seharga rp800.000 diskon dari rp1.000… ,"Buy a top box or recipient of digital TV broadcast (DVB-T2 on Virgo ♍ Shop for IDR 800,000 Discount from IDR 1,000 ...",0.25,0.25,1
"Kapan Suntik Mati TV Analog Selesai? Ini Kata Menkominfo

Pemerintah melakukan ASO dengan memperhatikan ketersediaa… https://t.co/RwoJmUVjrc",kapan suntik mati tv analog selesai? ini kata menkominfo  pemerintah melakukan aso dengan memperhatikan ketersediaa… ,When did the injection dead analog TV complete? This said the Minister of Communication and Information of the Government to do ASO by paying attention to the availability ...,0.4,-0.05,-1
@TRANSTV_CORP @TRANSTV_CORP @TRANS7 @CNNIndonesia @cnbcindonesia knp smua siaran digital kalian Renyek smua d Cikar… https://t.co/FYXyQUqv71,     knp smua siaran digital kalian renyek smua d cikar… ,Why are all your digital broadcasts take a break in Cikar ...,0.0,0.0,0
Ketua DPD RI Terima Aspirasi Keterbatasan Perangkat Monitoring Siaran TV Digital https://t.co/cMFgNsDgUI,ketua dpd ri terima aspirasi keterbatasan perangkat monitoring siaran tv digital ,Chairman of the DPD RI Accept the aspirations of the limitations of the Digital TV broadcast monitoring device,0.0,0.0,0
"RT @siarandigital: 📺💫
Habis Siaran Analog, Terbitlah Siaran Digital

Siaran #TVAnalog akan dimatikan dan diganti ke TV Digital atau Analog…","📺💫 habis siaran analog, terbitlah siaran digital  siaran tvanalog akan dimatikan dan diganti ke tv digital atau analog…","📺💫 After the analog broadcast, the digital broadcast of TVANALOG broadcast will be turned off and replaced to Digital or Analog TV ...",0.0,0.0,0
"ASO terus dilakukan, 
Hingga seluruh wilayah Indonesia
Ter-cover siaran TV digital

@PlateJohnny 
@kemkominfo https://t.co/UHR0nHhk1H","aso terus dilakukan,  hingga seluruh wilayah indonesia ter-cover siaran tv digital     ","ASO continues, until all regions of Indonesia are covered by digital TV broadcasts",0.0,0.0,0
"Hallo Penonton Setia tvOne!

Isi Survey TV Digital tvOne Ini Yuk!
https://t.co/GItpgTM2rH

Agar Siaran Digital tvOn… https://t.co/SK4x1btyi4",hallo penonton setia tvone!  isi survey tv digital tvone ini yuk!   agar siaran digital tvon… ,Hello Loyal TvOne Side viewer! Let's fill out this TVOne Digital TV survey! so that digital tvon broadcasts ...,0.2777777777777778,0.13888888888888887,1
"📺💫
Habis Siaran Analog, Terbitlah Siaran Digital

Siaran #TVAnalog akan dimatikan dan diganti ke TV Digital atau An… https://t.co/qfMXKvqIz2","📺💫 habis siaran analog, terbitlah siaran digital  siaran tvanalog akan dimatikan dan diganti ke tv digital atau an… ","📺💫 After the analog broadcast, the digital broadcast of TVANALOG broadcast will be turned off and replaced to Digital TV or An ...",0.0,0.0,0
"Ketua DPD RI Terima Aspirasi Keterbatasan Perangkat Monitoring Siaran TV Digital dari KPID Jatim
#LaNyalla… https://t.co/hEb6WA9aTD",ketua dpd ri terima aspirasi keterbatasan perangkat monitoring siaran tv digital dari kpid jatim lanyalla… ,The Chairman of the DPD RI accepted the aspirations of the limitations of the digital TV broadcast monitoring device from KPID East Java Lanyalla ...,0.0,0.0,0
@hyang_wisnu @kemkominfo @PlateJohnny @Junaedy5758 @HambaCintq @fyi_wwwww @fxhiantyo @Feriyandi777 @FayaAtika Sudah… https://t.co/iC5iv0icmJ,         sudah… ,already…,0.0,0.0,0
"RT @hyang_wisnu: KAPAN SUNTIK MATI TV ANALOG SELESAI? Ini Kata Menteri Johnny

Jadwal penghentian siaran TV analog dan dialihkan ke TV digi…",kapan suntik mati tv analog selesai? ini kata menteri johnny  jadwal penghentian siaran tv analog dan dialihkan ke tv digi…,When did the injection dead analog TV complete? This said Minister Johnny Schedule of TV broadcasting of analog TV and was transferred to TV Digi ...,0.4,-0.05,-1
"RT @patualanggaAsse: SIARAN PERS
Ketua DPD RI
Senin, 19 Desember 2022. 

Ketua DPD RI Terima Aspirasi Keterbatasan Perangkat Monitoring Sia…","siaran pers ketua dpd ri senin, 19 desember 2022.   ketua dpd ri terima aspirasi keterbatasan perangkat monitoring sia…","Press release of the Chairman of the DPD RI Monday, December 19, 2022. Chairman of the DPD RI Accept the aspirations of the limitations of the SIA monitoring device ...",0.0,0.0,0
"SIARAN PERS
Ketua DPD RI
Senin, 19 Desember 2022. 

Ketua DPD RI Terima Aspirasi Keterbatasan Perangkat Monitoring… https://t.co/FNZUlP7v0c","siaran pers ketua dpd ri senin, 19 desember 2022.   ketua dpd ri terima aspirasi keterbatasan perangkat monitoring… ","Press release of the Chairman of the DPD RI Monday, 19 December 2022. Chairperson of the DPD RI Accept the aspirations of the limitations of the monitoring device ...",0.0,0.0,0
Mantap 👍 selamat menikmati siaran TV digital bagi masyarakat yang sudah mendapatkan STB gratis dari Kemkominfo. https://t.co/Umfq7xMfCm,mantap 👍 selamat menikmati siaran tv digital bagi masyarakat yang sudah mendapatkan stb gratis dari kemkominfo. ,Great 👍 Enjoy Digital TV broadcasts for people who have got free STB from the Ministry of Communication and Information.,0.5125,0.4,1
Ketua DPD RI Terima Aspirasi Keterbatasan Perangkat Monitoring Siaran TV Digital dari KPID Jatim https://t.co/KlZAeax6M8,ketua dpd ri terima aspirasi keterbatasan perangkat monitoring siaran tv digital dari kpid jatim ,Chairman of the DPD RI Accept the aspirations of the limitations of the Digital TV broadcast monitoring device from KPID East Java,0.0,0.0,0
https://t.co/eXgNRrI3xw,,,0.0,0.0,0
"Ketua DPD RI Terima Aspirasi Keterbatasan Perangkat Monitoring Siaran TV Digital dari KPID Jatim

Selengkapnya:… https://t.co/Mt3KLTQNtt",ketua dpd ri terima aspirasi keterbatasan perangkat monitoring siaran tv digital dari kpid jatim  selengkapnya:… ,The Chairperson of the DPD RI accepts the aspirations of the limitations of the Digital TV broadcast monitoring device from the East Java KPID: ...,0.0,0.0,0
"Ketua DPD RI Terima Aspirasi Keterbatasan Perangkat Monitoring Siaran TV Digital dari KPID Jatim

https://t.co/NFrmA3w2eF

#LaNyalla",ketua dpd ri terima aspirasi keterbatasan perangkat monitoring siaran tv digital dari kpid jatim    lanyalla,Chairman of the DPD RI Accept the aspirations of the limitations of the Digital TV broadcast monitoring device from KPID East Java Lanyalla,0.0,0.0,0
@ainurohman Nobar pildun thn ini g rame. aplg d daerah kami g ad rasa ny.pildun sblm2 ny rame banget..smua pd demam… https://t.co/bgR59abbuJ, nobar pildun thn ini g rame. aplg d daerah kami g ad rasa ny.pildun sblm2 ny rame banget..smua pd demam… ,"Nobar Pildun this year is crowded. plg in our area is not a sense of ny.pildun as before, ny crowded ...",0.0,0.0,0
Ketua DPD RI Terima Aspirasi KPID Jatim Kurang  Perangkat Siaran TV Digital    https://t.co/PqaKZ0g0LN,ketua dpd ri terima aspirasi kpid jatim kurang  perangkat siaran tv digital    ,Chairman of the DPD RI Accept the aspirations of the East Java KPID lack of digital TV broadcast devices,0.0,0.0,0
@hyang_wisnu @kemkominfo @PlateJohnny @Junaedy5758 @HambaCintq @fyi_wwwww @fxhiantyo @Feriyandi777 @FayaAtika STBny… https://t.co/m5FNeK6qqR,         stbny… ,STBNY ...,0.0,0.0,0
"Ketua DPD RI Terima Aspirasi Keterbatasan Perangkat Monitoring Siaran TV Digital dari KPID Jatim.

#KetuaDPDRI… https://t.co/7ogPABxkW2",ketua dpd ri terima aspirasi keterbatasan perangkat monitoring siaran tv digital dari kpid jatim.  ketuadpdri… ,The Chairman of the DPD RI accepted the aspirations of the limitations of the digital TV broadcast monitoring device from East Java KPID. ketuadpdri ...,0.0,0.0,0
Jadwal penghentian siaran TV analog dan dialihkan ke TV digital seharusnya berakhir pada 2 November 2022. Namun pad… https://t.co/qdSpFDYjhN,jadwal penghentian siaran tv analog dan dialihkan ke tv digital seharusnya berakhir pada 2 november 2022. namun pad… ,"The schedule for terminating analog TV broadcasts and transferred to digital TV should end on November 2, 2022. But Pad ...",0.0,0.0,0
"RT @tvOneNews: Hallo Pemirsa tvOne!
Nikmati siaran tvOne di Siaran TV Digital di frekuensi berikut: 
Jakarta: UHF 34
Bandung: UHF 38
Semara…",hallo pemirsa tvone! nikmati siaran tvone di siaran tv digital di frekuensi berikut:  jakarta: uhf 34 bandung: uhf 38 semara…,Hello TVOne viewers! Enjoy TVOne broadcasts on digital TV broadcasts on the following frequency: Jakarta: UHF 34 Bandung: UHF 38 Semara ...,0.19999999999999998,0.13333333333333333,1
"Hallo Pemirsa tvOne!
Nikmati siaran tvOne di Siaran TV Digital di frekuensi berikut: 
Jakarta: UHF 34
Bandung: UHF… https://t.co/IPnFL5R1te",hallo pemirsa tvone! nikmati siaran tvone di siaran tv digital di frekuensi berikut:  jakarta: uhf 34 bandung: uhf… ,Hello TVOne viewers! Enjoy TVOne broadcasts on digital TV broadcasts on the following frequency: Jakarta: UHF 34 Bandung: UHF ...,0.19999999999999998,0.13333333333333333,1
Ini merupakan kelanjutan atau perluasan area yang dimatikan siaran TV analog dan digantikan ke TV digital. Program… https://t.co/UghM5lQcPj,ini merupakan kelanjutan atau perluasan area yang dimatikan siaran tv analog dan digantikan ke tv digital. program… ,This is a continuation or expansion of the area that is turned off analog TV broadcasts and replaced to digital TV. program…,0.0,0.0,0
"@jokowi mengapa siaran tv analog harus dimatikan kan ga semua rakyat mampu beli tv digital, meskipun harus nabung dulu"," mengapa siaran tv analog harus dimatikan kan ga semua rakyat mampu beli tv digital, meskipun harus nabung dulu","Why Analog TV broadcasts must be turned off, not all people are able to buy digital TV, even though they have to save first",0.3194444444444444,0.25,1
"RT @tvOneNews: Hallo Penonton Setia tvOne!
Isi Survey TV Digital tvOne Ini Yuk!
https://t.co/GItpgTM2rH

Agar Siaran Digital tvOne Semakin…",hallo penonton setia tvone! isi survey tv digital tvone ini yuk!   agar siaran digital tvone semakin…,Hello Loyal TvOne Side viewer! Let's fill out this TVOne Digital TV survey! So that TVOne's digital broadcast is more ...,0.33333333333333337,0.22916666666666666,1
@RashidYusoff11 @RTM_Malaysia Bukan kat Siaran Digital tv ada channel parlimen ke.,  bukan kat siaran digital tv ada channel parlimen ke.,Not Kat Digital TV broadcast there is a Parlimen channel to.,0.0,0.0,0
Jadwal penghentian siaran TV analog dan dialihkan ke TV digital seharusnya berakhir pada 2 November 2022. Namun pad… https://t.co/xkLeogz4AC,jadwal penghentian siaran tv analog dan dialihkan ke tv digital seharusnya berakhir pada 2 november 2022. namun pad… ,"The schedule for terminating analog TV broadcasts and transferred to digital TV should end on November 2, 2022. But Pad ...",0.0,0.0,0
@kemkominfo Sinyal tdk stabil banyak yg tdk bisa menonton dari siaran tv digital, sinyal tdk stabil banyak yg tdk bisa menonton dari siaran tv digital,Many unstable signals can not watch from digital TV broadcasts,0.25,0.25,1
"Kaleidoskop Digital 2022 – Januari: Suntik Mati TV Analog, Pemerintah Bagi 112 Wilayah Layanan Siaran di 341 Daerah… https://t.co/4U97LyG0tU","kaleidoskop digital 2022 – januari: suntik mati tv analog, pemerintah bagi 112 wilayah layanan siaran di 341 daerah… ","Kaleidoscope Digital 2022 - January: Analog TV Dead Injections, Government for 112 Broadcast Service Areas in 341 Regions ...",0.2,-0.1,-1
"Kaleidoskop Digital 2022 – Januari: Suntik Mati TV Analog, Pemerintah Bagi 112 Wilayah Layanan Siaran di 341 Daerah… https://t.co/wujgQn4mBE","kaleidoskop digital 2022 – januari: suntik mati tv analog, pemerintah bagi 112 wilayah layanan siaran di 341 daerah… ","Kaleidoscope Digital 2022 - January: Analog TV Dead Injections, Government for 112 Broadcast Service Areas in 341 Regions ...",0.2,-0.1,-1
"@cocomeew @moviemenfes itu udah pake siaran digital ya kak, keliatannya tv tabung tapi jernih banget gambarnya","  itu udah pake siaran digital ya kak, keliatannya tv tabung tapi jernih banget gambarnya","it's already used digital broadcasts, sis, it looks like a tube TV, but the picture is very clear",0.24916666666666665,0.06500000000000002,1
"@awanpamungkas @vidio Pertimbangkan beli smart TV yang bisa menangkap siaran TV digital, Pak. Ini salah satu pembel… https://t.co/Ke0HDJ2egL","  pertimbangkan beli smart tv yang bisa menangkap siaran tv digital, pak. ini salah satu pembel… ","Consider buying Smart TV that can capture digital TV broadcasts, sir. This is one of the buyers ...",0.32142857142857145,0.10714285714285714,1
"@FaktaSepakbola Akhirnya Siaran Bola FULL HD masuk indonesia,terima kasih TV DIGITAL gak perlu streaming lagi dari TV luar."," akhirnya siaran bola full hd masuk indonesia,terima kasih tv digital gak perlu streaming lagi dari tv luar.","Finally Full HD Ball Broadcast Enter Indonesia, Thank you Digital TV No need to stream anymore from outside TV.",0.20000000000000004,0.11666666666666665,1
"@mahesyaputra @MafiaWasit Matamu, sini ke kabupaten di luar jawa, masih banyak yang pake parabola siaran sctv diaca… https://t.co/hqmPG9kF6R","  matamu, sini ke kabupaten di luar jawa, masih banyak yang pake parabola siaran sctv diaca… ","Your eyes, here to districts outside Java, there are still many who use the SCTV broadcast satellite dish ...",0.275,0.25,1
"Bagi yang belum medapatkan siaran digital, yuk auto scan/scan kembali tv digital atau Set Top Box (STB) kalian yang… https://t.co/Zl3h0DRPxN","bagi yang belum medapatkan siaran digital, yuk auto scan/scan kembali tv digital atau set top box (stb) kalian yang… ","For those who haven't got a digital broadcast, let's Auto Scan/Scanner Returns Digital TV or Set Top Box (STB) for you ...",0.16666666666666666,0.16666666666666666,1
"Bagi yang belum medapatkan siaran digital, yuk auto scan/scan kembali tv digital atau Set Top Box (STB) kalian yang… https://t.co/HpU2LoJWqo","bagi yang belum medapatkan siaran digital, yuk auto scan/scan kembali tv digital atau set top box (stb) kalian yang… ","For those who haven't got a digital broadcast, let's Auto Scan/Scanner Returns Digital TV or Set Top Box (STB) for you ...",0.16666666666666666,0.16666666666666666,1
"Bagi yang belum medapatkan siaran digital,  ayo podo auto scan/scan kembali tv digital atau Set Top Box (STB) kalia… https://t.co/4LD8C3p3wi","bagi yang belum medapatkan siaran digital,  ayo podo auto scan/scan kembali tv digital atau set top box (stb) kalia… ","For those who have not found digital broadcasts, let's podo auto scan/scan back digital TV or set top box (STB) kalia ...",0.125,0.125,1
"Hallo Penonton Setia tvOne!

Isi Survey TV Digital tvOne Ini Yuk!
https://t.co/GItpgTMAhf

Agar Siaran Digital tvOn… https://t.co/X5vY6tameq",hallo penonton setia tvone!  isi survey tv digital tvone ini yuk!   agar siaran digital tvon… ,Hello Loyal TvOne Side viewer! Let's fill out this TVOne Digital TV survey! so that digital tvon broadcasts ...,0.2777777777777778,0.13888888888888887,1
@hyang_wisnu @jokowi @PlateJohnny @kemkominfo @erickthohir @kemendagri Jadwal penghentian siaran TV analog dan dial… https://t.co/TVN0stBjTZ,      jadwal penghentian siaran tv analog dan dial… ,Analog and Dial Tv Broadcasting Schedule ...,0.0,0.0,0
"Siaran TV Analog di luar Jabodetabek akan segera dimatikan permanen dalam waktu dekat ini, yuk segera beralih ke TV… https://t.co/HqSJ5i9LX8","siaran tv analog di luar jabodetabek akan segera dimatikan permanen dalam waktu dekat ini, yuk segera beralih ke tv… ","Analog TV broadcasts outside Jabodetabek will soon be turned off permanently in the near future, let's immediately switch to TV ...",0.19166666666666665,0.03333333333333333,1
"Siaran TV Analog di luar Jabodetabek akan segera dimatikan permanen dalam waktu dekat ini, yuk segera beralih ke TV… https://t.co/p8N6GwRmRk","siaran tv analog di luar jabodetabek akan segera dimatikan permanen dalam waktu dekat ini, yuk segera beralih ke tv… ","Analog TV broadcasts outside Jabodetabek will soon be turned off permanently in the near future, let's immediately switch to TV ...",0.19166666666666665,0.03333333333333333,1
"RT @lovemyself289: 3. Xiaomi TV A2 32 Digital TV (1,8 juta) 

Deskripsi Produk:
- Sudah Smart Android TV
- Support Google Asistant
- Suppor…","3. xiaomi tv a2 32 digital tv (1,8 juta)   deskripsi produk: - sudah smart android tv - support google asistant - suppor…",3. Xiaomi TV A2 32 Digital TV (1.8 Million) Product Description: - Already Smart Android TV - Google Asistant Support - Support ...,0.32142857142857145,0.10714285714285714,1
"RT @lovemyself289: 2. TCL 32 Inch Smart Digital TV-Android TV (1,8 juta) 

Deskripsi Produk: 
- Sudah Android TV (Android 11)
- Support Dol…","2. tcl 32 inch smart digital tv-android tv (1,8 juta)   deskripsi produk:  - sudah android tv (android 11) - support dol…",2. TCL 32 Inch Smart Digital TV -Android TV (1.8 million) Product Description: - Already Android TV (Android 11) - Support Dol ...,0.32142857142857145,0.10714285714285714,1
"RT @lovemyself289: [A THREAD] 
Rekomendasi TV LED harga sejutaan yang sudah support siaran digital (tanpa Set Top Box)

1. Samsung HD Digit…",[a thread]  rekomendasi tv led harga sejutaan yang sudah support siaran digital (tanpa set top box)  1. samsung hd digit…,[a thread] Recommendations for LED TV Prices that have supported digital broadcasts (without set top boxes) 1. Samsung HD Digit ...,0.25,0.25,1
"RT @hyang_wisnu: Manfaatkan Momentum Piala Dunia, Kominfo Gelar ASO di Beberapa Daerah Bulan Ini

@kemkominfo mengaku memanfaatkan momentum…","manfaatkan momentum piala dunia, kominfo gelar aso di beberapa daerah bulan ini   mengaku memanfaatkan momentum…","Take advantage of the momentum of the World Cup, Kominfo Holds ASO in several regions this month claimed to take advantage of the momentum ...",0.0,0.0,0
Demokrat berharap siaran tv digital dinikmati masyarakat nasional #AHYPimpinPerubahan #AHYPolitikusMendunia… https://t.co/xzCb6ch0tm,demokrat berharap siaran tv digital dinikmati masyarakat nasional ahypimpinperubahan ahypolitikusmendunia… ,Democrats hope that Digital TV broadcasts are enjoyed by the AHY national community leading AHY Changes in World Politicus ...,0.35,0.25,1
Demokrat berharap siaran tv digital dinikmati masyarakat nasional #AHYPimpinPerubahan #AHYPolitikusMendunia… https://t.co/RzCHmTp15a,demokrat berharap siaran tv digital dinikmati masyarakat nasional ahypimpinperubahan ahypolitikusmendunia… ,Democrats hope that Digital TV broadcasts are enjoyed by the AHY national community leading AHY Changes in World Politicus ...,0.35,0.25,1
Membeli set top box atau TV digital  https://t.co/7pgu5Yjyc8,membeli set top box atau tv digital  ,buy a set top box or digital TV,0.25,0.25,1
"Digital Converter Box, Leelbox S3 ATSC Converter Box for Analog TV, HD 1080P HDTV Set Top Box for Recording PVR, Pa… https://t.co/BXB62rRSiO","digital converter box, leelbox s3 atsc converter box for analog tv, hd 1080p hdtv set top box for recording pvr, pa… ","Digital Converter Box, Leelbox S3 Atsc Converter Box for Analog TV, HD 1080p HDTV Set Top Box for Recording PVR, Pa ...",0.25,0.25,1
