Tweets,Text_tokens,Text_tokens_fdist,Text_tokens_WSW,Text_tokens_stemmed
hikaru lihat definisi bunting di sini ya,"['hikaru', 'lihat', 'definisi', 'bunting', 'di', 'sini', 'ya']",<FreqDist with 7 samples and 7 outcomes>,"['hikaru', 'lihat', 'definisi', 'bunting']","['hikaru', 'lihat', 'definisi', 'bunting']"
karena buah simalakama merupakan tanaman obat yang mengandung banyak khasiat tetapi juga mengandung,"['karena', 'buah', 'simalakama', 'merupakan', 'tanaman', 'obat', 'yang', 'mengandung', 'banyak', 'khasiat', 'tetapi', 'juga', 'mengandung']",<FreqDist with 12 samples and 13 outcomes>,"['buah', 'simalakama', 'tanaman', 'obat', 'mengandung', 'khasiat', 'mengandung']","['buah', 'simalakama', 'tanam', 'obat', 'kandung', 'khasiat', 'kandung']"
katanya begini pak,"['katanya', 'begini', 'pak']",<FreqDist with 3 samples and 3 outcomes>,[],[]
ataupun bukan atau pun dalam ragam formal konjungsi dan tidak diletakkan pada awal kalim,"['ataupun', 'bukan', 'atau', 'pun', 'dalam', 'ragam', 'formal', 'konjungsi', 'dan', 'tidak', 'diletakkan', 'pada', 'awal', 'kalim']",<FreqDist with 14 samples and 14 outcomes>,"['ragam', 'formal', 'konjungsi', 'diletakkan', 'kalim']","['ragam', 'formal', 'konjungsi', 'letak', 'kalim']"
sukses untuk tim,"['sukses', 'untuk', 'tim']",<FreqDist with 3 samples and 3 outcomes>,"['sukses', 'tim']","['sukses', 'tim']"
tampaknya karena waktu pembuatan dan pembuatnya berbeda akronim sulit dikonsistenkan karena bergant,"['tampaknya', 'karena', 'waktu', 'pembuatan', 'dan', 'pembuatnya', 'berbeda', 'akronim', 'sulit', 'dikonsistenkan', 'karena', 'bergant']",<FreqDist with 11 samples and 12 outcomes>,"['pembuatan', 'pembuatnya', 'berbeda', 'akronim', 'sulit', 'dikonsistenkan', 'bergant']","['buat', 'buat', 'beda', 'akronim', 'sulit', 'konsisten', 'bergant']"
sehat terus kang,"['sehat', 'terus', 'kang']",<FreqDist with 3 samples and 3 outcomes>,"['sehat', 'kang']","['sehat', 'kang']"
keambiguan selalu menjadi bahan lawakan yang baik,"['keambiguan', 'selalu', 'menjadi', 'bahan', 'lawakan', 'yang', 'baik']",<FreqDist with 7 samples and 7 outcomes>,"['keambiguan', 'bahan', 'lawakan']","['ambigu', 'bahan', 'lawa']"
usul storyboard papan cerita,"['usul', 'storyboard', 'papan', 'cerita']",<FreqDist with 4 samples and 4 outcomes>,"['usul', 'storyboard', 'papan', 'cerita']","['usul', 'storyboard', 'papan', 'cerita']"
,[],<FreqDist with 0 samples and 0 outcomes>,[],[]
oyaoyaoya alhamdulillah,"['oyaoyaoya', 'alhamdulillah']",<FreqDist with 2 samples and 2 outcomes>,"['oyaoyaoya', 'alhamdulillah']","['oyaoyaoya', 'alhamdulillah']"
,[],<FreqDist with 0 samples and 0 outcomes>,[],[]
kondisi ketika seseorang,"['kondisi', 'ketika', 'seseorang']",<FreqDist with 3 samples and 3 outcomes>,['kondisi'],['kondisi']
perjuangan,['perjuangan'],<FreqDist with 1 samples and 1 outcomes>,['perjuangan'],['juang']
,[],<FreqDist with 0 samples and 0 outcomes>,[],[]
ikuti penulisan aslinya,"['ikuti', 'penulisan', 'aslinya']",<FreqDist with 3 samples and 3 outcomes>,"['ikuti', 'penulisan', 'aslinya']","['ikut', 'tulis', 'asli']"
sumber,['sumber'],<FreqDist with 1 samples and 1 outcomes>,['sumber'],['sumber']
ya karena berupa kata bahasa asing,"['ya', 'karena', 'berupa', 'kata', 'bahasa', 'asing']",<FreqDist with 6 samples and 6 outcomes>,"['bahasa', 'asing']","['bahasa', 'asing']"
,[],<FreqDist with 0 samples and 0 outcomes>,[],[]
saya pernah dapat ini tetapi lupa dari mana tiga konsonan yang terbanyak dipakai pada kata bahasa in,"['saya', 'pernah', 'dapat', 'ini', 'tetapi', 'lupa', 'dari', 'mana', 'tiga', 'konsonan', 'yang', 'terbanyak', 'dipakai', 'pada', 'kata', 'bahasa', 'in']",<FreqDist with 17 samples and 17 outcomes>,"['lupa', 'konsonan', 'dipakai', 'bahasa', 'in']","['lupa', 'konsonan', 'pakai', 'bahasa', 'in']"
handbag tas tangan,"['handbag', 'tas', 'tangan']",<FreqDist with 3 samples and 3 outcomes>,"['handbag', 'tas', 'tangan']","['handbag', 'tas', 'tangan']"
aturan turunan uu perpres kedua aturan itu memang tidak mencantumkan sanksi pidana,"['aturan', 'turunan', 'uu', 'perpres', 'kedua', 'aturan', 'itu', 'memang', 'tidak', 'mencantumkan', 'sanksi', 'pidana']",<FreqDist with 11 samples and 12 outcomes>,"['aturan', 'turunan', 'uu', 'perpres', 'aturan', 'mencantumkan', 'sanksi', 'pidana']","['atur', 'turun', 'uu', 'pres', 'atur', 'cantum', 'sanksi', 'pidana']"
shower pancuran saya belum menemukan padanan lain untuk enkode dan dekode,"['shower', 'pancuran', 'saya', 'belum', 'menemukan', 'padanan', 'lain', 'untuk', 'enkode', 'dan', 'dekode']",<FreqDist with 11 samples and 11 outcomes>,"['shower', 'pancuran', 'menemukan', 'padanan', 'enkode', 'dekode']","['shower', 'pancur', 'temu', 'padan', 'enkode', 'dekode']"
coba kembangkan ide dengan peta pikiran,"['coba', 'kembangkan', 'ide', 'dengan', 'peta', 'pikiran']",<FreqDist with 6 samples and 6 outcomes>,"['coba', 'kembangkan', 'ide', 'peta', 'pikiran']","['coba', 'kembang', 'ide', 'peta', 'pikir']"
ide tulisan dapat muncul dari amatan obrolan atau bacaan jadi seringseringlah mengamati mengobrol atau memba,"['ide', 'tulisan', 'dapat', 'muncul', 'dari', 'amatan', 'obrolan', 'atau', 'bacaan', 'jadi', 'seringseringlah', 'mengamati', 'mengobrol', 'atau', 'memba']",<FreqDist with 14 samples and 15 outcomes>,"['ide', 'tulisan', 'muncul', 'amatan', 'obrolan', 'bacaan', 'seringseringlah', 'mengamati', 'mengobrol', 'memba']","['ide', 'tulis', 'muncul', 'amat', 'obrol', 'baca', 'seringseringlah', 'amat', 'obrol', 'memba']"
oren iya itu dari buku tata bahasa baku bahasa indonesia edisi iv,"['oren', 'iya', 'itu', 'dari', 'buku', 'tata', 'bahasa', 'baku', 'bahasa', 'indonesia', 'edisi', 'iv']",<FreqDist with 11 samples and 12 outcomes>,"['oren', 'iya', 'buku', 'tata', 'bahasa', 'baku', 'bahasa', 'indonesia', 'edisi', 'iv']","['oren', 'iya', 'buku', 'tata', 'bahasa', 'baku', 'bahasa', 'indonesia', 'edisi', 'iv']"
sebenarnya yang dimaksud pasif ialah klausa relatifnya yang ia perankanyang diperankan olehnya,"['sebenarnya', 'yang', 'dimaksud', 'pasif', 'ialah', 'klausa', 'relatifnya', 'yang', 'ia', 'perankanyang', 'diperankan', 'olehnya']",<FreqDist with 11 samples and 12 outcomes>,"['pasif', 'klausa', 'relatifnya', 'perankanyang', 'diperankan']","['pasif', 'klausa', 'relatif', 'perankanyang', 'peran']"
,[],<FreqDist with 0 samples and 0 outcomes>,[],[]
pemeringkatan,['pemeringkatan'],<FreqDist with 1 samples and 1 outcomes>,['pemeringkatan'],['peringkat']
yang benar  kalimat  mestinya memakai kendarai kalimat  mestinya memakai sayangkan kalima,"['yang', 'benar', 'kalimat', 'mestinya', 'memakai', 'kendarai', 'kalimat', 'mestinya', 'memakai', 'sayangkan', 'kalima']",<FreqDist with 8 samples and 11 outcomes>,"['kalimat', 'mestinya', 'memakai', 'kendarai', 'kalimat', 'mestinya', 'memakai', 'sayangkan', 'kalima']","['kalimat', 'mesti', 'pakai', 'kendara', 'kalimat', 'mesti', 'pakai', 'sayang', 'kalima']"
ikuti obrolan untuk mengetahui mengapa dan bagaimana menulis yuk,"['ikuti', 'obrolan', 'untuk', 'mengetahui', 'mengapa', 'dan', 'bagaimana', 'menulis', 'yuk']",<FreqDist with 9 samples and 9 outcomes>,"['ikuti', 'obrolan', 'menulis', 'yuk']","['ikut', 'obrol', 'tulis', 'yuk']"
dee superpriority superprioritas prioritas super,"['dee', 'superpriority', 'superprioritas', 'prioritas', 'super']",<FreqDist with 5 samples and 5 outcomes>,"['dee', 'superpriority', 'superprioritas', 'prioritas', 'super']","['dee', 'superpriority', 'superprioritas', 'prioritas', 'super']"
dee,['dee'],<FreqDist with 1 samples and 1 outcomes>,['dee'],['dee']
dee kuk pikulan yang dipakai kerbau untuk menarik bajak,"['dee', 'kuk', 'pikulan', 'yang', 'dipakai', 'kerbau', 'untuk', 'menarik', 'bajak']",<FreqDist with 9 samples and 9 outcomes>,"['dee', 'kuk', 'pikulan', 'dipakai', 'kerbau', 'menarik', 'bajak']","['dee', 'kuk', 'pikul', 'pakai', 'kerbau', 'tarik', 'bajak']"
dee cari langsung di aja,"['dee', 'cari', 'langsung', 'di', 'aja']",<FreqDist with 5 samples and 5 outcomes>,"['dee', 'cari', 'langsung']","['dee', 'cari', 'langsung']"
dee kuk sebagai padanan yoke sudah ada di kbbi kok,"['dee', 'kuk', 'sebagai', 'padanan', 'yoke', 'sudah', 'ada', 'di', 'kbbi', 'kok']",<FreqDist with 10 samples and 10 outcomes>,"['dee', 'kuk', 'padanan', 'yoke', 'kbbi']","['dee', 'kuk', 'padan', 'yoke', 'kbbi']"
ridha,['ridha'],<FreqDist with 1 samples and 1 outcomes>,['ridha'],['ridha']
di antara pilihan padanan pada glosarium saya pikir pengakhiran paling cocok untuk konteks hubungan,"['di', 'antara', 'pilihan', 'padanan', 'pada', 'glosarium', 'saya', 'pikir', 'pengakhiran', 'paling', 'cocok', 'untuk', 'konteks', 'hubungan']",<FreqDist with 14 samples and 14 outcomes>,"['pilihan', 'padanan', 'glosarium', 'pikir', 'pengakhiran', 'cocok', 'konteks', 'hubungan']","['pilih', 'padan', 'glosarium', 'pikir', 'akhir', 'cocok', 'konteks', 'hubung']"
boleh,['boleh'],<FreqDist with 1 samples and 1 outcomes>,[],[]
dirs,['dirs'],<FreqDist with 1 samples and 1 outcomes>,['dirs'],['dirs']
ahimsa,['ahimsa'],<FreqDist with 1 samples and 1 outcomes>,['ahimsa'],['ahimsa']
sepakat,['sepakat'],<FreqDist with 1 samples and 1 outcomes>,['sepakat'],['sepakat']
versi saya hahaha ya jelas tawanya meremehkan lalu tersenyum miring setelahnya mana mungkin aku bisa lupa sama kamu,"['versi', 'saya', 'hahaha', 'ya', 'jelas', 'tawanya', 'meremehkan', 'lalu', 'tersenyum', 'miring', 'setelahnya', 'mana', 'mungkin', 'aku', 'bisa', 'lupa', 'sama', 'kamu']",<FreqDist with 18 samples and 18 outcomes>,"['versi', 'hahaha', 'tawanya', 'meremehkan', 'tersenyum', 'miring', 'setelahnya', 'lupa']","['versi', 'hahaha', 'tawa', 'remeh', 'senyum', 'miring', 'telah', 'lupa']"
iya awal petikan langsung diberi huruf kapital,"['iya', 'awal', 'petikan', 'langsung', 'diberi', 'huruf', 'kapital']",<FreqDist with 7 samples and 7 outcomes>,"['iya', 'petikan', 'langsung', 'huruf', 'kapital']","['iya', 'peti', 'langsung', 'huruf', 'kapital']"
mana yang benar,"['mana', 'yang', 'benar']",<FreqDist with 3 samples and 3 outcomes>,[],[]
bisa berikan contohnya,"['bisa', 'berikan', 'contohnya']",<FreqDist with 3 samples and 3 outcomes>,['contohnya'],['contoh']
padanan yang bagus,"['padanan', 'yang', 'bagus']",<FreqDist with 3 samples and 3 outcomes>,"['padanan', 'bagus']","['padan', 'bagus']"
petikan langsung pembicaraan atau naskah ditulis dengan diapit tanda petik kaidah itu dapat diperluas untuk petika,"['petikan', 'langsung', 'pembicaraan', 'atau', 'naskah', 'ditulis', 'dengan', 'diapit', 'tanda', 'petik', 'kaidah', 'itu', 'dapat', 'diperluas', 'untuk', 'petika']",<FreqDist with 16 samples and 16 outcomes>,"['petikan', 'langsung', 'pembicaraan', 'naskah', 'ditulis', 'diapit', 'tanda', 'petik', 'kaidah', 'diperluas', 'petika']","['peti', 'langsung', 'bicara', 'naskah', 'tulis', 'apit', 'tanda', 'petik', 'kaidah', 'luas', 'tika']"
oalah petikan langsung ya saya pikir mestinya tanda baca penutup juga dimiringkan untuk kasus itu,"['oalah', 'petikan', 'langsung', 'ya', 'saya', 'pikir', 'mestinya', 'tanda', 'baca', 'penutup', 'juga', 'dimiringkan', 'untuk', 'kasus', 'itu']",<FreqDist with 15 samples and 15 outcomes>,"['oalah', 'petikan', 'langsung', 'pikir', 'mestinya', 'tanda', 'baca', 'penutup', 'dimiringkan']","['oalah', 'peti', 'langsung', 'pikir', 'mesti', 'tanda', 'baca', 'tutup', 'miring']"
dalam bulu tangkis single tunggal ada saltik pada pesan sebelumnya,"['dalam', 'bulu', 'tangkis', 'single', 'tunggal', 'ada', 'saltik', 'pada', 'pesan', 'sebelumnya']",<FreqDist with 10 samples and 10 outcomes>,"['bulu', 'tangkis', 'single', 'tunggal', 'saltik', 'pesan']","['bulu', 'tangkis', 'single', 'tunggal', 'saltik', 'pesan']"
semangat mas harus ada yang memperjuangkan itu,"['semangat', 'mas', 'harus', 'ada', 'yang', 'memperjuangkan', 'itu']",<FreqDist with 7 samples and 7 outcomes>,"['semangat', 'mas', 'memperjuangkan']","['semangat', 'mas', 'juang']"
mi tute konsentas,"['mi', 'tute', 'konsentas']",<FreqDist with 3 samples and 3 outcomes>,"['mi', 'tute', 'konsentas']","['mi', 'tute', 'konsentas']"
,[],<FreqDist with 0 samples and 0 outcomes>,[],[]
apa bagian yang ditulis dengan huruf miring itu kata bahasa asing atau judul buku apakah tanda baca,"['apa', 'bagian', 'yang', 'ditulis', 'dengan', 'huruf', 'miring', 'itu', 'kata', 'bahasa', 'asing', 'atau', 'judul', 'buku', 'apakah', 'tanda', 'baca']",<FreqDist with 17 samples and 17 outcomes>,"['ditulis', 'huruf', 'miring', 'bahasa', 'asing', 'judul', 'buku', 'tanda', 'baca']","['tulis', 'huruf', 'miring', 'bahasa', 'asing', 'judul', 'buku', 'tanda', 'baca']"
kecuali untuk tujuan politis tiada gunanya mengajukan bahasa sendiri sebagai bahasa internasional ketika bahasa it,"['kecuali', 'untuk', 'tujuan', 'politis', 'tiada', 'gunanya', 'mengajukan', 'bahasa', 'sendiri', 'sebagai', 'bahasa', 'internasional', 'ketika', 'bahasa', 'it']",<FreqDist with 13 samples and 15 outcomes>,"['kecuali', 'tujuan', 'politis', 'tiada', 'gunanya', 'mengajukan', 'bahasa', 'bahasa', 'internasional', 'bahasa', 'it']","['kecuali', 'tuju', 'politis', 'tiada', 'guna', 'aju', 'bahasa', 'bahasa', 'internasional', 'bahasa', 'it']"
,[],<FreqDist with 0 samples and 0 outcomes>,[],[]
karena begitu penulisan dan pengucapan dari bahasa asalnya yaitu bahasa melayu,"['karena', 'begitu', 'penulisan', 'dan', 'pengucapan', 'dari', 'bahasa', 'asalnya', 'yaitu', 'bahasa', 'melayu']",<FreqDist with 10 samples and 11 outcomes>,"['penulisan', 'pengucapan', 'bahasa', 'asalnya', 'bahasa', 'melayu']","['tulis', 'ucap', 'bahasa', 'asal', 'bahasa', 'melayu']"
,[],<FreqDist with 0 samples and 0 outcomes>,[],[]
buangan tidak meski asalnya memang dari bahasa melayu,"['buangan', 'tidak', 'meski', 'asalnya', 'memang', 'dari', 'bahasa', 'melayu']",<FreqDist with 8 samples and 8 outcomes>,"['buangan', 'asalnya', 'bahasa', 'melayu']","['buang', 'asal', 'bahasa', 'melayu']"
fajarin,['fajarin'],<FreqDist with 1 samples and 1 outcomes>,['fajarin'],['fajarin']
fajarin,['fajarin'],<FreqDist with 1 samples and 1 outcomes>,['fajarin'],['fajarin']
ya engagement level leveltingkat pelibatan,"['ya', 'engagement', 'level', 'leveltingkat', 'pelibatan']",<FreqDist with 5 samples and 5 outcomes>,"['engagement', 'level', 'leveltingkat', 'pelibatan']","['engagement', 'level', 'leveltingkat', 'libat']"
nan dari bahasa melayu tetapi sudah ada di kbbi,"['nan', 'dari', 'bahasa', 'melayu', 'tetapi', 'sudah', 'ada', 'di', 'kbbi']",<FreqDist with 9 samples and 9 outcomes>,"['bahasa', 'melayu', 'kbbi']","['bahasa', 'melayu', 'kbbi']"
,[],<FreqDist with 0 samples and 0 outcomes>,[],[]
bisa mestinya adverbia tembusan,"['bisa', 'mestinya', 'adverbia', 'tembusan']",<FreqDist with 4 samples and 4 outcomes>,"['mestinya', 'adverbia', 'tembusan']","['mesti', 'adverbia', 'tembus']"
boleh seperti itu,"['boleh', 'seperti', 'itu']",<FreqDist with 3 samples and 3 outcomes>,[],[]
laukpauk merupakan kata ulang berubah bunyi yang berarti berbagai lauk pauk tidak punya arti,"['laukpauk', 'merupakan', 'kata', 'ulang', 'berubah', 'bunyi', 'yang', 'berarti', 'berbagai', 'lauk', 'pauk', 'tidak', 'punya', 'arti']",<FreqDist with 14 samples and 14 outcomes>,"['laukpauk', 'ulang', 'berubah', 'bunyi', 'lauk', 'pauk', 'arti']","['laukpauk', 'ulang', 'ubah', 'bunyi', 'lauk', 'pauk', 'arti']"
bagian tahun diisi nd no date atau tt tanpa tahun,"['bagian', 'tahun', 'diisi', 'nd', 'no', 'date', 'atau', 'tt', 'tanpa', 'tahun']",<FreqDist with 9 samples and 10 outcomes>,"['diisi', 'nd', 'no', 'date', 'tt']","['isi', 'nd', 'no', 'date', 'tt']"
bisa berarti sahabat sang wanita,"['bisa', 'berarti', 'sahabat', 'sang', 'wanita']",<FreqDist with 5 samples and 5 outcomes>,"['sahabat', 'sang', 'wanita']","['sahabat', 'sang', 'wanita']"
,[],<FreqDist with 0 samples and 0 outcomes>,[],[]
romadhoni,['romadhoni'],<FreqDist with 1 samples and 1 outcomes>,['romadhoni'],['romadhoni']
biasanya gelar yang lebih tinggi diletakkan di sebelah kiri,"['biasanya', 'gelar', 'yang', 'lebih', 'tinggi', 'diletakkan', 'di', 'sebelah', 'kiri']",<FreqDist with 9 samples and 9 outcomes>,"['gelar', 'diletakkan', 'sebelah', 'kiri']","['gelar', 'letak', 'belah', 'kiri']"
lihat syarat kalimat efektif di sini ya,"['lihat', 'syarat', 'kalimat', 'efektif', 'di', 'sini', 'ya']",<FreqDist with 7 samples and 7 outcomes>,"['lihat', 'syarat', 'kalimat', 'efektif']","['lihat', 'syarat', 'kalimat', 'efektif']"
,[],<FreqDist with 0 samples and 0 outcomes>,[],[]
iya kata penunjuk kekerabatan diawali huruf kapital ketika merujuk kepada orang spesifik contoh buku,"['iya', 'kata', 'penunjuk', 'kekerabatan', 'diawali', 'huruf', 'kapital', 'ketika', 'merujuk', 'kepada', 'orang', 'spesifik', 'contoh', 'buku']",<FreqDist with 14 samples and 14 outcomes>,"['iya', 'penunjuk', 'kekerabatan', 'diawali', 'huruf', 'kapital', 'merujuk', 'orang', 'spesifik', 'contoh', 'buku']","['iya', 'tunjuk', 'kerabat', 'awal', 'huruf', 'kapital', 'rujuk', 'orang', 'spesifik', 'contoh', 'buku']"
,[],<FreqDist with 0 samples and 0 outcomes>,[],[]
,[],<FreqDist with 0 samples and 0 outcomes>,[],[]
reboot muat ulang,"['reboot', 'muat', 'ulang']",<FreqDist with 3 samples and 3 outcomes>,"['reboot', 'muat', 'ulang']","['reboot', 'muat', 'ulang']"
